,Star ID,RA,DE,Magnitude
512,48648,-1.15592596,0.7781261,5.2
513,48690,-1.14401052,0.74528575,5.4
514,48717,-1.1375496,0.79247455,5.0
515,48891,-1.09561232,0.70636136,5.6
516,49010,-1.06686376,0.70218751,5.4
517,49097,-1.04744116,0.8720492,5.3
518,49331,-0.99602799,0.81443317,5.0
519,49803,-0.90637151,0.81195146,5.6
520,49940,-0.87386169,0.78715862,1.3
521,49945,-0.87208022,0.72495804,5.6
522,50072,-0.84572153,0.83159044,5.6
523,50098,-0.84110463,0.80159307,4.9
524,50120,-0.8364318,0.76567885,5.1
525,50358,-0.78786605,0.80213078,5.2
526,50423,-0.77182903,0.76319045,3.9
527,50455,-0.76411824,0.82810162,4.9
528,50689,-0.71303019,0.76331606,5.1
529,50823,-0.6829149,0.81152652,5.5
530,51078,-0.6364487,0.78801795,5.1
531,51166,-0.61863602,0.75129748,5.4
532,51292,-0.58929878,0.85656566,4.3
533,51594,-0.51957186,0.77506819,5.5
534,51782,-0.47228638,0.78875322,5.5
535,51903,-0.44088936,0.80781372,4.7
536,51969,-0.4254949,0.85909319,4.6
537,52054,-0.40385937,0.82816673,4.6
538,52078,-0.40000931,0.74816399,4.5
539,52250,-0.35641215,0.76820405,4.6
540,52316,-0.34096686,0.7252962,5.2
541,52347,-0.33184649,0.77286723,5.8
542,52411,-0.31371216,0.7275981,5.8
543,52435,-0.30642257,0.75130044,5.2
544,52464,-0.29921451,0.77637253,5.6
545,52470,-0.29749921,0.70005142,5.9
546,52511,-0.28752051,0.72146084,5.5
547,52515,-0.28695379,0.86334888,5.1
548,52525,-0.28422918,0.84502957,5.2
549,52622,-0.26050101,0.74156553,5.1
550,52710,-0.23840456,0.80489087,5.6
551,52906,-0.18692883,0.84388167,5.4
552,53038,-0.15399599,0.74414648,5.6
553,53203,-0.10860892,0.80611823,4.0
554,53215,-0.10613019,0.75033751,4.3
555,53776,0.06314449,0.67027867,4.4
556,53797,0.06853901,0.63718941,4.5
557,53802,0.06990051,0.5452365,5.8
558,53859,0.09330422,0.66847221,5.6
559,54032,0.14923919,0.58371446,4.5
560,54037,0.15126617,0.61304103,5.6
561,54057,0.15990547,0.53385642,3.5
562,54078,0.16755496,0.68389917,5.4
563,54280,0.23548565,0.66721508,3.9
564,54373,0.262115,0.55041329,5.5
565,54470,0.2920122,0.61707929,2.4
566,54492,0.29822485,0.54383306,5.0
567,54493,0.29824608,0.65377663,5.8
568,54654,0.352588,0.65370696,5.5
