Star ID,Ra,De,Magnitude
12226,0.61180481,1.12289844,6.5
12298,0.65042385,1.17639342,4.6
12345,0.67950489,1.19325223,6.8
12361,0.68766802,1.14747142,6.1
12369,0.69363181,1.0924281,6.8
12421,0.71919688,1.18376321,5.8
12438,0.72938306,1.05714195,6.7
12445,0.73707356,1.21534519,6.3
12472,0.75040228,1.20232843,6.0
12478,0.75213335,1.10670416,6.9
12517,0.76772263,1.07374697,5.6
12519,0.7697499,1.12281317,6.6
12536,0.77657691,1.12432811,6.9
12587,0.80354886,1.07697195,6.7
12608,0.81731893,1.11801899,5.8
12619,0.82422498,1.08880426,6.5
12621,0.82627472,1.12225364,6.9
12636,0.83343835,1.13265362,6.5
12677,0.85703906,1.15855921,6.6
12686,0.86187187,1.14595754,6.4
12703,0.87317601,1.21704213,6.7
12704,0.87261765,1.14584977,4.8
12716,0.87840705,1.08207291,6.6
12743,0.89306542,1.12723937,5.5
12770,0.90928592,1.05165973,6.5
12854,0.95984062,1.11474242,6.8
12874,0.96933485,1.10334087,5.3
12890,0.98619582,1.17288918,5.8
12891,0.98627792,1.10557949,5.0
12916,1.0014708,1.14364488,4.7
12917,1.0018667,1.10474469,6.0
12929,1.01096699,1.19568153,6.3
12942,1.01379631,1.08812096,6.8
12968,1.03470957,1.06655141,5.2
12969,1.03595058,1.10081731,4.9
13006,1.07361507,1.19869363,6.1
13012,1.07395839,1.08388219,6.8
13015,1.07621336,1.14355597,6.1
13061,1.10331192,1.19557875,6.4
13075,1.12091088,1.0794907,5.6
13081,1.12508621,1.170927,6.9
13098,1.13739399,1.13691577,5.4
13113,1.14228971,1.06003959,5.7
13130,1.15265071,1.08267573,6.9
13176,1.19170645,1.18039643,6.9
13196,1.20603357,1.12157233,5.9
13215,1.21409088,1.06263101,6.8
13283,1.26609456,1.1104797,6.7
13285,1.27070034,1.18977602,6.9
13291,1.27446851,1.1083773,5.8
13298,1.28303735,1.15789802,4.4
13300,1.28133922,1.07306023,6.6
13316,1.29820833,1.13932413,6.8
13317,1.29701933,1.07779477,6.9
13341,1.31597295,1.06601351,6.1
13344,1.3213903,1.16627598,6.3
13351,1.32391194,1.05491608,4.2
13362,1.33563241,1.20379921,6.8
13369,1.33733403,1.06761679,6.3
13382,1.35094767,1.21543483,6.6
13388,1.35153978,1.13306416,6.4
13390,1.351183,1.09047551,6.7
13394,1.35573693,1.10997283,6.7
13409,1.3659498,1.07948726,6.0
13413,1.3679951,1.09417008,6.4
13422,1.3729173,1.10177691,6.7
13458,1.39924566,1.16495235,6.6
13460,1.39790859,1.0935152,5.9
13517,1.43928199,1.05187547,6.9
13518,1.44063891,1.1007315,5.8
13527,1.45321139,1.18705413,6.9
13548,1.47162046,1.1640678,6.2
13550,1.47153967,1.11970939,6.0
13564,1.48564848,1.08121765,6.6
13570,1.49417957,1.14663977,5.8
13590,1.50160697,1.07296787,6.4
13602,1.51066988,1.13044787,6.9
13608,1.51645325,1.11000201,6.6
13618,1.52315662,1.09620901,6.1
13627,1.53159914,1.14760547,6.6
13635,1.53993825,1.19505612,6.4
13662,1.56024618,1.15358977,6.6
13674,1.57432262,1.16961611,6.9
13675,1.57625812,1.14363965,6.7
13715,1.59982908,1.10747667,6.5
13746,1.61978539,1.05510981,6.8
13756,1.62687034,1.14700275,5.4
13772,1.63920145,1.04718213,5.6
13787,1.64896519,1.07364433,5.3
13788,1.6530313,1.20985913,4.7
13796,1.65630779,1.21421252,6.8
13799,1.65652574,1.19864423,6.9
13855,1.70334099,1.04973764,6.7
13897,1.73524976,1.07304913,6.0
13917,1.74761978,1.08075495,6.5
13945,1.76316688,1.09890855,6.9
13973,1.79311826,1.17935233,5.0
13986,1.80512467,1.20232697,5.1
14037,1.83412986,1.17514536,6.5
14044,1.84024942,1.21555574,6.7
14049,1.84111292,1.11137307,6.7
14095,1.87461117,1.06102177,6.7
14195,1.9522989,1.15770724,6.3
14211,1.96732532,1.19495136,5.8
14221,1.97049709,1.09085614,6.8
14226,1.97239288,1.0778834,6.8
14261,1.99641217,1.05658825,6.9
14321,2.0362307,1.14241903,6.0
14322,2.03530356,1.09660079,6.4
14326,2.03773161,1.11791432,6.8
14330,2.04182819,1.05236038,6.9
14338,2.05134234,1.05317104,6.7
14402,2.1018377,1.05285858,6.0
14406,2.10432995,1.06453939,6.7
14407,2.1053613,1.1011307,6.0
14446,2.13951463,1.2169252,6.5
14456,2.15030323,1.19509806,5.5
14479,2.16351996,1.05384008,6.4
14500,2.17855313,1.09095499,5.8
14522,2.19359344,1.0582148,6.5
14568,2.22430003,1.17456213,6.0
14572,2.2285374,1.19580308,6.9
14573,2.22644984,1.05973226,3.5
14582,2.23790669,1.20985991,6.4
14590,2.24538317,1.13699683,5.4
14609,2.26541904,1.13482947,5.7
14612,2.26530923,1.04613998,6.4
14616,2.26986941,1.12273458,4.8
14667,2.30742606,1.16427438,6.1
14691,2.32729162,1.08144649,5.7
14703,2.34147067,1.12755256,5.6
14727,2.35225303,1.10570826,6.9
14742,2.36730046,1.18035963,5.0
14769,2.39281608,1.16715917,5.3
14788,2.4015132,1.17171962,4.9
14796,2.40383303,1.10852003,4.7
14819,2.41878272,1.07203892,5.2
14875,2.46849123,1.11597676,6.5
14908,2.49376432,1.1006373,3.8
14941,2.52035681,1.05092223,6.6
14949,2.52841456,1.17412008,6.3
14966,2.5405326,1.20842302,5.7
14976,2.55084604,1.13418379,6.2
14980,2.55657501,1.11095952,6.5
14987,2.56349001,1.10387862,6.9
15000,2.57608096,1.14481784,6.3
15023,2.5964211,1.06667843,6.4
15098,2.65782818,1.11618087,6.8
15129,2.68400099,1.04694104,6.1
15131,2.688029,1.04982713,6.8
15135,2.69668387,1.13635547,5.7
15147,2.70987288,1.19987057,5.8
15163,2.7232845,1.14434941,4.9
15196,2.74848138,1.14539273,6.4
15200,2.7508226,1.12150955,6.0
15243,2.78524754,1.04936913,6.9
15260,2.80040442,1.19456278,5.9
15261,2.80100634,1.14696576,5.1
15269,2.80591195,1.20560693,5.2
15273,2.81277393,1.20036265,5.9
15274,2.81463322,1.17654957,6.3
15298,2.83106622,1.13677275,6.2
15300,2.83390252,1.11368141,6.6
15360,2.88458201,1.1069072,6.3
15384,2.89606083,1.07775618,2.0
15414,2.92196355,1.17304035,6.1
15431,2.93295359,1.19156968,6.4
15438,2.93707635,1.17502421,6.7
15454,2.9509739,1.04619622,6.7
15462,2.95592046,1.05193913,6.7
15478,2.97097596,1.17113091,6.3
15486,2.97951265,1.12277845,6.0
15520,3.00665914,1.07823634,5.9
15532,3.01682154,1.21005578,4.1
15542,3.02093564,1.06609292,5.5
15567,3.03707797,1.2099128,5.4
15580,3.04917609,1.12306813,6.8
15606,3.0651156,1.16491768,5.5
15631,3.08543727,1.0716644,6.6
15663,3.12688382,1.1387041,6.7
15666,3.12801065,1.07423765,6.3
15673,3.13436655,1.07276124,6.7
15710,3.16629495,1.09838796,6.2
15747,3.20308402,1.15381734,6.8
15783,3.23788865,1.07497587,6.9
15801,3.25113635,1.11356753,6.4
15816,3.27297624,1.20778859,5.3
15817,3.27671794,1.15013135,6.7
15871,3.32295345,1.09454901,5.9
15877,3.32952105,1.06736629,6.5
15901,3.34804423,1.09573341,5.8
15902,3.34916663,1.16571181,5.7
15907,3.35389734,1.05278144,5.9
15941,3.38364982,1.14211636,5.3
15945,3.3878048,1.15180919,6.1
15950,3.39014725,1.17360782,6.7
15955,3.39603715,1.13314852,6.6
15960,3.40303563,1.16234235,5.5
15962,3.41116101,1.11021077,6.0
15985,3.43122459,1.08283727,6.3
15999,3.44631129,1.08610244,6.5
16018,3.4621511,1.17438522,6.8
16033,3.47529023,1.19394493,6.1
16071,3.51683146,1.10411516,6.5
16078,3.52153956,1.12984718,6.7
16080,3.52753433,1.0462525,5.4
16124,3.56504087,1.16999921,6.8
16142,3.58445846,1.13136261,5.7
16143,3.58711907,1.13923516,6.5
16186,3.62050547,1.07319006,6.0
16197,3.62584407,1.19232076,6.4
16199,3.62780611,1.12963396,4.8
16230,3.65443249,1.0732496,6.4
16254,3.67323682,1.19866973,6.4
16273,3.68434271,1.12357035,3.6
16297,3.70946716,1.20188831,6.6
16305,3.71784801,1.21182772,5.4
16342,3.75209661,1.18302872,6.7
16406,3.79944026,1.10279768,6.0
16411,3.80356666,1.05113526,6.2
16431,3.81176876,1.14136582,6.6
16466,3.84868393,1.06922317,6.2
16478,3.85743894,1.06636408,6.6
16558,3.91644568,1.15073698,4.9
16574,3.93331756,1.05076854,5.9
16586,3.94202007,1.04764649,6.8
16587,3.94428303,1.15051673,6.1
16606,3.96118036,1.10160242,6.8
16608,3.96328574,1.14822327,6.8
16630,3.97383153,1.1830071,6.1
16660,3.9908634,1.17542316,5.2
16662,3.99185023,1.20332404,6.5
16672,4.00245551,1.09556252,6.8
16693,4.01369579,1.09037961,6.6
16712,4.02569413,1.08292735,5.8
16713,4.02577231,1.10551477,5.8
16740,4.04776927,1.08691499,6.4
16741,4.04853802,1.05889514,6.1
16743,4.0520121,1.07734084,6.8
16746,4.05506686,1.08384564,6.5
16754,4.06194498,1.12065288,5.9
16773,4.0779738,1.18343083,6.9
16794,4.09128164,1.20922112,5.9
16848,4.1306106,1.09256782,5.1
16888,4.16033174,1.13949255,6.9
16890,4.16087679,1.19940229,6.8
16925,4.19031337,1.18032055,6.8
16962,4.2164008,1.18350995,5.4
16979,4.22977563,1.10667221,6.7
16980,4.23214411,1.04495442,6.7
16993,4.24297875,1.17188639,6.3
17036,4.26801266,1.19650179,6.5
17062,4.28396323,1.20618827,5.4
17073,4.29256639,1.07680852,5.6
17074,4.29347273,1.07362596,2.9
17107,4.3108906,1.20023006,5.0
17108,4.31250612,1.1701288,6.7
17130,4.33028092,1.06156767,5.9
17137,4.33133459,1.16507239,6.4
17155,4.34156687,1.05537214,6.8
17165,4.34986795,1.10082856,6.4
17188,4.36733622,1.12729134,5.0
17281,4.43326138,1.13681546,4.8
17282,4.43213164,1.17771822,6.7
17284,4.43472091,1.0885572,6.8
17285,4.43497042,1.13514561,6.4
17305,4.44641651,1.20752878,6.5
17312,4.45617028,1.058529,6.2
17324,4.46042947,1.12749108,6.1
17360,4.48604436,1.06743561,6.7
17365,4.4889304,1.14693711,3.2
17391,4.50531825,1.09736559,5.5
17410,4.52076041,1.05965528,6.7
17414,4.52254319,1.05890178,6.3
17472,4.56267856,1.04804229,5.7
17474,4.55968642,1.17471819,6.3
17526,4.59006067,1.18918067,5.2
17546,4.6032718,1.07992146,5.3
17572,4.61055724,1.21423943,6.5
17576,4.61181976,1.20005281,4.9
17608,4.6311855,1.17201691,6.9
17645,4.66468637,1.09603497,6.7
17651,4.66642988,1.19884771,6.9
17664,4.67933434,1.05411526,6.8
17756,4.73502546,1.16842124,6.9
17768,4.74151285,1.12086606,6.8
17803,4.76090048,1.05434676,6.3
17828,4.77302325,1.12394448,5.0
17837,4.77907947,1.20001572,6.1
17847,4.78646301,1.19976653,6.7
17888,4.82576782,1.14429899,5.0
